2022-12-20 11:12:330 INFO  HomePage :89 - Clicking on Menu Tab:[[[ChromeDriver: chrome on WINDOWS (e3d3605eb7ce66a27ea80a4124c5efbd)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (e3d3605eb7ce66a27ea80a4124c5efbd)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (e3d3605eb7ce66a27ea80a4124c5efbd)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (e3d3605eb7ce66a27ea80a4124c5efbd)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (e3d3605eb7ce66a27ea80a4124c5efbd)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (e3d3605eb7ce66a27ea80a4124c5efbd)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (e3d3605eb7ce66a27ea80a4124c5efbd)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a]]
2022-12-20 11:12:525 INFO  ComputerPage :33 - Get the Page Title: [[ChromeDriver: chrome on WINDOWS (e3d3605eb7ce66a27ea80a4124c5efbd)] -> css selector: div[class='page-title'] h1]
2022-12-20 11:12:919 INFO  HomePage :89 - Clicking on Menu Tab:[[[ChromeDriver: chrome on WINDOWS (ea6c31c691cbb407cba7018b9788e4ac)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (ea6c31c691cbb407cba7018b9788e4ac)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (ea6c31c691cbb407cba7018b9788e4ac)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (ea6c31c691cbb407cba7018b9788e4ac)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (ea6c31c691cbb407cba7018b9788e4ac)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (ea6c31c691cbb407cba7018b9788e4ac)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (ea6c31c691cbb407cba7018b9788e4ac)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a]]
2022-12-20 11:12:851 INFO  ComputerPage :40 - Click on Sub menu:[[[ChromeDriver: chrome on WINDOWS (ea6c31c691cbb407cba7018b9788e4ac)] -> xpath: //div[@class='category-grid sub-category-grid']//h2/a], [[ChromeDriver: chrome on WINDOWS (ea6c31c691cbb407cba7018b9788e4ac)] -> xpath: //div[@class='category-grid sub-category-grid']//h2/a], [[ChromeDriver: chrome on WINDOWS (ea6c31c691cbb407cba7018b9788e4ac)] -> xpath: //div[@class='category-grid sub-category-grid']//h2/a]]
2022-12-20 11:12:343 INFO  ComputerPage :33 - Get the Page Title: [[ChromeDriver: chrome on WINDOWS (ea6c31c691cbb407cba7018b9788e4ac)] -> css selector: div[class='page-title'] h1]
2022-12-20 11:12:304 INFO  HomePage :89 - Clicking on Menu Tab:[[[ChromeDriver: chrome on WINDOWS (9dc4a4e29b0e92e479efa93829c4b713)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (9dc4a4e29b0e92e479efa93829c4b713)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (9dc4a4e29b0e92e479efa93829c4b713)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (9dc4a4e29b0e92e479efa93829c4b713)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (9dc4a4e29b0e92e479efa93829c4b713)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (9dc4a4e29b0e92e479efa93829c4b713)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a], [[ChromeDriver: chrome on WINDOWS (9dc4a4e29b0e92e479efa93829c4b713)] -> xpath: //div[@class='header-menu']/child::ul[1]/li/a]]
2022-12-20 11:12:856 INFO  ComputerPage :40 - Click on Sub menu:[[[ChromeDriver: chrome on WINDOWS (9dc4a4e29b0e92e479efa93829c4b713)] -> xpath: //div[@class='category-grid sub-category-grid']//h2/a], [[ChromeDriver: chrome on WINDOWS (9dc4a4e29b0e92e479efa93829c4b713)] -> xpath: //div[@class='category-grid sub-category-grid']//h2/a], [[ChromeDriver: chrome on WINDOWS (9dc4a4e29b0e92e479efa93829c4b713)] -> xpath: //div[@class='category-grid sub-category-grid']//h2/a]]
2022-12-20 11:12:293 INFO  DesktopsPage :57 - Product Title: [[[ChromeDriver: chrome on WINDOWS (9dc4a4e29b0e92e479efa93829c4b713)] -> xpath: //div[@class='products-container']//h2/a], [[ChromeDriver: chrome on WINDOWS (9dc4a4e29b0e92e479efa93829c4b713)] -> xpath: //div[@class='products-container']//h2/a], [[ChromeDriver: chrome on WINDOWS (9dc4a4e29b0e92e479efa93829c4b713)] -> xpath: //div[@class='products-container']//h2/a]]
2022-12-20 11:12:140 INFO  BuildYourOwnComputerPage :63 - Getting the ProductName text :[[ChromeDriver: chrome on WINDOWS (9dc4a4e29b0e92e479efa93829c4b713)] -> id: product_attribute_1]
2022-12-20 11:12:241 INFO  BuildYourOwnComputerPage :69 - Select Ram : [[ChromeDriver: chrome on WINDOWS (9dc4a4e29b0e92e479efa93829c4b713)] -> id: product_attribute_2]
2022-12-20 11:12:310 INFO  BuildYourOwnComputerPage :76 - Select HDD: [[[ChromeDriver: chrome on WINDOWS (9dc4a4e29b0e92e479efa93829c4b713)] -> xpath: //dd[@id='product_attribute_input_3']//li/label], [[ChromeDriver: chrome on WINDOWS (9dc4a4e29b0e92e479efa93829c4b713)] -> xpath: //dd[@id='product_attribute_input_3']//li/label]]
